company_name,wttj_url
Visian,https://www.welcometothejungle.com/fr/companies/visian
Chat3D,https://www.welcometothejungle.com/fr/companies/chat3d
Naratis,https://www.welcometothejungle.com/fr/companies/vaquita
ever-T,https://www.welcometothejungle.com/fr/companies/ever-t
QOLIBRIS,https://www.welcometothejungle.com/fr/companies/qolibris
AVAHOST,https://www.welcometothejungle.com/fr/companies/avahost
Sancare,https://www.welcometothejungle.com/fr/companies/sancare
Vocca,https://www.welcometothejungle.com/fr/companies/vocca
FIELDBOX,https://www.welcometothejungle.com/fr/companies/fieldbox-ai
Chance,https://www.welcometothejungle.com/fr/companies/chance
Yxir,https://www.welcometothejungle.com/fr/companies/yxir
Parallel,https://www.welcometothejungle.com/fr/companies/kiosk
IoT Valley,https://www.welcometothejungle.com/fr/companies/iot-valley
Tandem Health,https://www.welcometothejungle.com/fr/companies/tandem-health-global-sas
Acadenice,https://www.welcometothejungle.com/fr/companies/acadenice
Ask for the moon,https://www.welcometothejungle.com/fr/companies/ask-for-the-moon
Ed.ai,https://www.welcometothejungle.com/fr/companies/ed-ai
Phagos,https://www.welcometothejungle.com/fr/companies/phagos-1
Ficha,https://www.welcometothejungle.com/fr/companies/ficha
FRANCE IA,https://www.welcometothejungle.com/fr/companies/france-ia-1
HawkCell,https://www.welcometothejungle.com/fr/companies/hawkcell
Omaha Insights,https://www.welcometothejungle.com/fr/companies/omaha
Kayrros,https://www.welcometothejungle.com/fr/companies/kayrros
Wilgo,https://www.welcometothejungle.com/fr/companies/bongoway
Pyl.tech,https://www.welcometothejungle.com/fr/companies/pyl-tech
"Waiv, formerly Owkin Dx",https://www.welcometothejungle.com/fr/companies/waiv
Dext France,https://www.welcometothejungle.com/fr/companies/dext
Monk AI,https://www.welcometothejungle.com/fr/companies/monk-ai
PLURALISME,https://www.welcometothejungle.com/fr/companies/pluralisme
Hopia,https://www.welcometothejungle.com/fr/companies/hopia
AI6 Technologies,https://www.welcometothejungle.com/fr/companies/ai6-technologies
HOMIWOO,https://www.welcometothejungle.com/fr/companies/homiwoo
Kleep,https://www.welcometothejungle.com/fr/companies/kleep
diago,https://www.welcometothejungle.com/fr/companies/diago
Grafit,https://www.welcometothejungle.com/fr/companies/grafit
oqtave,https://www.welcometothejungle.com/fr/companies/quintet-conseil
Ask Mona,https://www.welcometothejungle.com/fr/companies/ask-mona
Zefir,https://www.welcometothejungle.com/fr/companies/zefir
Volta software,https://www.welcometothejungle.com/fr/companies/volta
BulQ,https://www.welcometothejungle.com/fr/companies/bulq
H Company,https://www.welcometothejungle.com/fr/companies/h-company
Tessia,https://www.welcometothejungle.com/fr/companies/tessia
Rivage,https://www.welcometothejungle.com/fr/companies/rivage
Matricis.ai,https://www.welcometothejungle.com/fr/companies/matricis-ai
BrightHeart,https://www.welcometothejungle.com/fr/companies/brightheart
